,Year,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,3P%,2P%,FT%,TmNetRtg,Next Rtg,Next WS,Veteran Value,VV Class,Starters
768,2008,Anthony Parker,SG,32.0,TOR,82.0,2634.0,14.4,0.58,0.367,0.151,2.2,12.9,10.8,1.6,0.5,9.0,17.4,3.8,2.5,6.2,0.113,1.8,0.4,0.438,0.499,0.816,3.3,-3.0,3.4,-12043.010752688173,1,1
770,2008,Peja Stojakovic,SF,30.0,NOH,77.0,2711.0,15.7,0.581,0.511,0.136,2.7,11.8,5.6,1.1,0.3,5.3,19.7,5.8,2.4,8.1,0.144,3.0,-1.2,0.441,0.438,0.929,5.6,1.8,3.8,-14156.378600823047,1,1
775,2009,Ray Allen,SG,33.0,BOS,79.0,2876.0,17.3,0.624,0.467,0.239,2.9,8.6,12.6,1.3,0.4,10.4,20.8,7.4,3.7,11.1,0.186,4.3,-0.3,0.409,0.542,0.952,7.9,3.7,7.9,-7687.687687687687,1,1
776,2009,Kevin Garnett,PF,32.0,BOS,57.0,1772.0,21.2,0.563,0.011,0.178,5.6,26.7,14.7,1.9,3.1,10.1,23.4,3.0,4.1,7.1,0.193,0.2,3.7,0.25,0.534,0.841,7.9,3.7,7.3,751.1737089201885,0,1
778,2009,Paul Pierce,SF,31.0,BOS,81.0,3035.0,17.7,0.582,0.257,0.468,2.4,15.4,16.3,1.4,0.7,13.8,25.4,5.5,4.8,10.3,0.164,1.7,0.7,0.391,0.48,0.83,7.9,3.7,8.3,-5177.993527508091,1,1
780,2009,Shane Battier,SG,30.0,HOU,60.0,2031.0,10.7,0.568,0.669,0.189,3.1,12.9,10.0,1.3,1.9,11.3,9.9,2.3,2.9,5.2,0.123,0.4,3.0,0.384,0.462,0.821,4.2,0.0,4.3,8.666666666666664,0,1
781,2009,Chris Andersen,C,30.0,DEN,71.0,1460.0,18.1,0.608,0.034,0.62,13.4,21.6,3.2,1.4,9.3,15.7,13.4,2.5,2.8,5.4,0.176,-1.2,4.6,0.2,0.56,0.718,3.4,4.4,5.9,150.0,0,0
782,2009,Chauncey Billups,PG,32.0,DEN,77.0,2719.0,18.8,0.595,0.407,0.467,1.4,8.2,28.8,1.7,0.5,13.0,21.8,7.8,2.1,9.9,0.176,4.3,-1.7,0.41,0.427,0.913,3.4,4.4,9.5,37.12499999999997,0,1
784,2009,Kenyon Martin,PF,31.0,DEN,66.0,2111.0,13.6,0.523,0.059,0.304,4.6,16.8,10.0,2.3,2.7,12.4,17.7,0.9,3.1,4.0,0.09,-1.6,2.5,0.368,0.498,0.604,3.4,4.4,3.3,8.57142857142857,0,1
788,2009,Mike Bibby,PG,30.0,ATL,79.0,2740.0,16.3,0.544,0.426,0.17,1.6,10.3,24.2,1.9,0.3,10.6,20.6,4.4,2.5,6.9,0.121,2.6,-0.9,0.39,0.468,0.789,1.7,4.9,4.8,0.5974025974025969,0,1
789,2009,Maurice Evans,SF,30.0,ATL,80.0,1840.0,11.1,0.558,0.515,0.151,5.6,9.9,4.6,1.5,0.4,7.7,14.2,2.3,1.5,3.8,0.099,0.5,-1.0,0.395,0.47,0.822,1.7,4.9,3.1,0.9870129870129868,0,0
791,2009,Tim Duncan,C,32.0,SAS,75.0,2524.0,24.4,0.549,0.002,0.436,9.6,27.9,19.3,0.8,3.7,11.1,28.5,5.0,5.0,10.1,0.191,1.1,3.5,0.0,0.505,0.692,4.2,5.4,10.9,18.181818181818173,0,1
793,2009,Manu Ginobili,SG,31.0,SAS,44.0,1181.0,22.9,0.594,0.426,0.387,2.5,17.3,23.1,2.9,1.0,13.3,27.2,2.7,2.3,5.0,0.203,4.2,1.8,0.33,0.546,0.884,4.2,5.4,9.7,200.0,0,1
796,2009,Kobe Bryant,SG,30.0,LAL,82.0,2960.0,24.4,0.561,0.196,0.329,3.5,12.8,23.8,2.1,1.0,9.7,32.2,8.6,4.0,12.7,0.206,4.8,-0.2,0.351,0.496,0.856,7.9,4.9,9.4,7.696969696969699,0,1
797,2009,Derek Fisher,PG,34.0,LAL,82.0,2441.0,12.1,0.546,0.439,0.189,1.2,7.4,14.9,2.0,0.2,8.8,14.7,3.6,2.7,6.3,0.123,0.9,-0.3,0.397,0.446,0.846,7.9,4.9,3.9,4.083333333333334,0,1
798,2009,Marcus Camby,C,34.0,LAC,62.0,1925.0,18.7,0.556,0.008,0.367,9.4,32.7,10.8,1.4,5.1,13.9,15.8,2.3,2.9,5.2,0.129,-2.0,3.7,0.25,0.514,0.725,-9.2,-6.8,4.6,13.48148148148147,0,1
799,2009,Vince Carter,SG,32.0,NJN,80.0,2946.0,19.3,0.545,0.291,0.305,3.0,13.8,23.7,1.5,1.1,9.8,26.8,5.7,1.8,7.5,0.123,3.5,-0.9,0.385,0.459,0.817,-2.7,-9.6,7.4,17.30769230769237,0,1
801,2009,Jason Kidd,PG,35.0,DAL,81.0,2886.0,16.9,0.55,0.523,0.17,3.4,16.4,34.7,2.9,1.0,21.8,13.5,4.6,3.9,8.5,0.141,2.3,2.3,0.406,0.427,0.819,2.0,2.8,8.9,23.076923076923077,0,1
802,2009,Dirk Nowitzki,PF,30.0,DAL,81.0,3050.0,23.1,0.564,0.105,0.337,3.3,22.1,12.1,1.0,1.5,7.8,30.3,7.5,3.4,10.9,0.171,1.9,-0.7,0.359,0.493,0.89,2.0,2.8,12.3,23.076923076923077,0,1
803,2009,Jason Terry,SG,31.0,DAL,74.0,2491.0,19.3,0.571,0.39,0.193,1.8,6.3,17.6,2.0,0.6,8.6,25.5,5.4,1.9,7.3,0.14,4.3,-1.8,0.366,0.525,0.88,2.0,2.8,6.5,2.1057692307692313,0,1
806,2009,Richard Hamilton,SG,30.0,DET,67.0,2279.0,16.9,0.529,0.182,0.252,2.3,8.6,23.9,1.0,0.1,10.3,27.0,3.1,1.4,4.5,0.095,2.1,-2.2,0.368,0.464,0.848,-0.6,-5.9,1.4,0.3349875930521092,0,0
809,2009,Rasheed Wallace,C,34.0,DET,66.0,2123.0,14.9,0.52,0.443,0.14,3.1,24.6,7.1,1.6,3.1,7.2,18.5,1.6,3.4,5.1,0.114,-0.3,1.7,0.354,0.471,0.772,-0.6,-5.9,3.6,-2540.1069518716563,1,1
810,2009,Zydrunas Ilgauskas,C,33.0,CLE,65.0,1765.0,18.0,0.523,0.054,0.24,11.0,21.6,6.4,0.9,3.8,10.1,23.8,2.1,3.5,5.6,0.151,-1.9,1.0,0.385,0.477,0.799,9.6,6.8,2.5,-4780.844155844153,1,1
814,2009,Brad Miller,C,32.0,SAC,43.0,1354.0,15.7,0.562,0.111,0.402,7.1,22.7,17.8,1.1,1.3,15.4,17.9,1.9,0.6,2.6,0.091,0.0,0.3,0.465,0.475,0.801,-9.0,-4.7,4.0,8566.433566433567,0,1
815,2009,Stephen Jackson,SF,30.0,GSW,59.0,2339.0,16.1,0.53,0.306,0.357,3.3,10.8,25.6,1.8,0.9,16.6,25.2,1.5,0.7,2.2,0.045,1.7,-1.5,0.338,0.448,0.826,-3.7,-3.3,5.0,20247.93388429752,0,0
817,2009,Antawn Jamison,PF,32.0,WAS,81.0,3096.0,20.6,0.549,0.221,0.314,7.2,20.5,9.1,1.6,0.7,7.1,25.9,6.6,1.6,8.1,0.126,2.8,-2.1,0.351,0.501,0.754,-8.1,-5.3,3.7,0.9545454545454545,0,1
818,2009,Darius Songaila,C,30.0,WAS,77.0,1521.0,13.9,0.57,0.002,0.197,5.6,12.1,10.3,2.2,1.1,13.0,17.1,1.8,0.7,2.4,0.076,-0.8,-0.7,0.0,0.533,0.889,-8.1,-5.3,1.3,1.1313131313131313,0,0
819,2009,Shawn Marion,SF,30.0,MIA,42.0,1516.0,15.7,0.522,0.09,0.191,8.4,20.5,8.2,2.0,2.4,10.4,16.7,1.4,2.2,3.6,0.113,-1.2,2.2,0.2,0.51,0.788,0.3,2.4,5.0,51.85185185185185,0,1
821,2009,Andre Miller,PG,32.0,PHI,82.0,2976.0,18.6,0.548,0.051,0.393,4.9,9.9,30.2,2.0,0.4,14.0,21.8,6.2,2.5,8.8,0.141,2.8,0.1,0.283,0.483,0.826,0.2,-4.1,7.0,1.2865497076023387,0,1
822,2009,Jermaine O'Neal,C,30.0,TOR,41.0,1216.0,15.4,0.526,0.002,0.305,6.9,20.7,9.3,0.8,5.2,14.9,23.5,-0.1,1.4,1.4,0.055,-3.0,1.9,0.0,0.474,0.81,-3.0,-2.0,5.6,26.31578947368421,0,0
823,2009,Anthony Parker,SG,33.0,TOR,80.0,2637.0,12.1,0.524,0.32,0.192,2.0,12.0,15.7,2.0,0.4,12.2,16.3,1.4,2.0,3.4,0.063,0.0,0.6,0.39,0.442,0.834,-3.0,-2.0,4.9,3529.4117647058833,0,1
824,2009,James Posey,SG,32.0,NOH,75.0,2140.0,10.8,0.568,0.599,0.279,2.2,18.3,6.0,1.5,0.8,11.8,15.0,1.7,2.6,4.2,0.095,-0.6,0.3,0.369,0.476,0.822,1.8,-2.4,2.4,-7469.387755102041,1,1
825,2009,Peja Stojakovic,SF,31.0,NOH,61.0,2089.0,12.5,0.531,0.534,0.145,2.6,12.7,6.0,1.4,0.1,6.3,18.8,1.9,1.9,3.8,0.087,0.6,-1.2,0.378,0.424,0.894,1.8,-2.4,2.7,0.6045454545454548,0,1
826,2010,Ray Allen,SG,34.0,BOS,80.0,2819.0,15.2,0.601,0.41,0.26,2.0,8.8,12.3,1.2,0.7,10.6,20.2,5.1,2.9,7.9,0.135,2.3,-0.7,0.363,0.556,0.913,3.7,5.7,10.0,17.500000000000004,0,1
827,2010,Kevin Garnett,PF,33.0,BOS,69.0,2060.0,19.4,0.569,0.006,0.286,4.8,24.8,15.7,1.7,2.2,10.4,22.1,3.6,3.8,7.3,0.171,0.0,2.6,0.2,0.523,0.837,3.7,5.7,9.0,621.0045662100457,0,1
828,2010,Paul Pierce,SF,32.0,BOS,71.0,2411.0,18.2,0.613,0.303,0.499,2.0,13.4,15.1,1.8,1.0,13.6,23.8,5.0,3.3,8.3,0.165,2.3,0.3,0.414,0.497,0.852,3.7,5.7,11.6,27.450980392156872,0,1
831,2010,Chauncey Billups,PG,33.0,DEN,73.0,2490.0,20.2,0.601,0.423,0.532,1.2,9.3,26.1,1.7,0.3,13.0,24.3,7.7,1.7,9.5,0.182,5.0,-1.9,0.386,0.441,0.91,4.4,4.9,5.8,3.851351351351351,0,1
832,2010,Kenyon Martin,PF,32.0,DEN,58.0,1986.0,13.4,0.481,0.047,0.269,8.3,23.3,8.5,1.8,2.3,11.6,17.5,0.4,2.8,3.3,0.079,-2.0,2.2,0.276,0.465,0.557,4.4,4.9,2.7,3.7812500000000018,0,1
835,2010,Shane Battier,SG,31.0,HOU,67.0,2168.0,11.1,0.541,0.624,0.237,3.8,13.1,10.9,1.2,2.6,11.5,11.4,2.2,2.1,4.3,0.095,0.1,1.9,0.362,0.458,0.726,0.0,2.3,4.0,9.854166666666673,0,1
837,2010,John Salmons,SG,30.0,MIL,30.0,1129.0,17.6,0.581,0.264,0.357,1.6,8.3,15.0,1.6,0.3,9.4,22.7,2.5,1.4,3.9,0.165,2.4,-0.3,0.385,0.497,0.867,2.1,-0.8,4.3,68.75,0,1
839,2010,Mike Bibby,PG,31.0,ATL,80.0,2195.0,12.7,0.538,0.503,0.123,1.1,8.8,20.8,1.6,0.1,11.7,16.1,3.0,1.7,4.8,0.104,1.2,-1.5,0.389,0.444,0.861,4.9,-0.7,3.1,1.9411764705882355,0,1
843,2010,Antawn Jamison,PF,33.0,WAS,41.0,1595.0,17.5,0.528,0.24,0.31,7.0,19.3,5.8,1.4,0.4,7.1,24.3,2.3,1.4,3.7,0.112,1.2,-1.7,0.345,0.483,0.7,-5.3,-7.8,2.6,262.3636363636364,0,1
844,2010,Elton Brand,PF,30.0,PHI,76.0,2297.0,15.7,0.518,0.001,0.272,9.0,14.7,7.9,1.9,2.7,12.0,21.7,1.6,1.9,3.5,0.073,-1.2,0.2,0.0,0.481,0.738,-4.1,1.5,9.4,7800.0,0,1
845,2010,Kobe Bryant,SG,31.0,LAL,73.0,2835.0,21.9,0.545,0.192,0.345,3.1,12.2,23.8,2.1,0.5,11.4,32.3,5.4,4.0,9.4,0.16,3.6,-0.1,0.329,0.487,0.811,4.9,6.3,10.3,7800.0,0,1
846,2010,Derek Fisher,PG,35.0,LAL,82.0,2227.0,9.3,0.499,0.401,0.237,1.3,7.2,12.9,2.1,0.3,11.2,14.0,1.2,2.7,3.9,0.085,-1.2,0.4,0.348,0.401,0.856,4.9,6.3,3.7,1521.000000000002,0,1
847,2010,Lamar Odom,PF,30.0,LAL,82.0,2585.0,15.9,0.533,0.246,0.273,8.0,26.5,15.6,1.5,1.7,15.3,17.0,2.8,4.9,7.7,0.143,0.0,3.1,0.319,0.51,0.693,4.9,6.3,10.1,7800.0,0,1
848,2010,Metta World,SF,30.0,LAL,77.0,2605.0,12.1,0.514,0.4,0.251,4.3,9.9,13.3,2.1,0.6,12.8,16.2,1.8,3.5,5.3,0.098,0.3,1.2,0.355,0.453,0.688,4.9,6.3,4.4,-2603.7735849056585,1,0
850,2010,Marcus Camby,PF,35.0,LAC,51.0,1596.0,18.3,0.497,0.017,0.256,12.0,32.9,14.4,2.2,4.6,13.9,13.0,1.7,2.8,4.6,0.137,-1.0,5.6,0.333,0.469,0.659,-6.8,-3.2,3.7,-2347.8260869565206,1,1
851,2010,Baron Davis,PG,30.0,LAC,75.0,2523.0,17.4,0.501,0.292,0.287,2.4,9.9,39.6,2.6,1.3,15.6,24.3,2.5,2.1,4.5,0.086,2.0,-0.5,0.277,0.459,0.821,-6.8,-3.2,2.1,-6400.000000000001,1,0
856,2010,Jason Kidd,PG,36.0,DAL,80.0,2881.0,17.2,0.577,0.617,0.148,1.9,15.6,36.4,2.6,0.9,21.4,14.5,4.8,4.0,8.9,0.148,2.7,1.6,0.425,0.42,0.808,2.8,4.4,6.4,-142.22727919214913,1,1
857,2010,Shawn Marion,SF,31.0,DAL,75.0,2385.0,14.7,0.535,0.024,0.179,7.7,15.2,7.2,1.5,1.9,10.6,18.1,2.1,2.8,5.0,0.1,-0.9,1.4,0.158,0.516,0.755,2.8,4.4,5.6,60.75949367088609,0,1
858,2010,Dirk Nowitzki,PF,31.0,DAL,81.0,3039.0,22.9,0.578,0.081,0.392,3.1,20.1,13.0,1.2,2.0,7.8,28.8,8.4,3.9,12.3,0.194,2.3,0.3,0.421,0.487,0.915,2.8,4.4,11.1,7.372807017543852,0,1
859,2010,Jason Terry,SG,32.0,DAL,77.0,2540.0,16.5,0.552,0.358,0.257,0.9,5.4,18.8,1.9,0.5,8.6,23.0,4.4,2.1,6.5,0.123,2.5,-1.7,0.365,0.479,0.866,2.8,4.4,5.3,3.8961988304093547,0,1
860,2010,Tim Duncan,C,33.0,SAS,78.0,2438.0,24.7,0.56,0.01,0.346,10.8,26.8,17.8,1.0,3.5,10.1,26.0,6.4,4.5,10.9,0.215,2.4,3.2,0.182,0.522,0.725,5.4,6.1,7.7,2.4501096491228065,0,1
861,2010,Manu Ginobili,SG,32.0,SAS,75.0,2150.0,22.5,0.584,0.388,0.393,3.8,11.6,28.2,2.5,0.8,12.7,25.8,6.5,3.2,9.7,0.216,5.6,0.7,0.377,0.481,0.87,5.4,6.1,9.9,100.0,0,1
862,2010,Antonio McDyess,PF,35.0,SAS,77.0,1617.0,12.2,0.492,0.005,0.133,11.0,21.8,7.7,1.4,1.4,14.8,15.1,0.6,2.6,3.2,0.094,-2.5,2.1,0.0,0.481,0.632,5.4,6.1,3.0,15.999999999999986,0,0
863,2010,Richard Hamilton,SG,31.0,DET,46.0,1552.0,14.9,0.505,0.192,0.336,2.2,7.7,23.5,1.0,0.2,12.3,27.9,1.2,0.1,1.4,0.043,0.9,-3.4,0.297,0.435,0.846,-5.9,-3.7,1.8,100.0,0,0
864,2010,Ben Wallace,C,35.0,DET,69.0,1975.0,15.8,0.526,0.007,0.548,14.1,23.1,8.0,2.4,3.6,15.0,10.0,2.4,2.3,4.7,0.115,-0.1,3.9,0.0,0.545,0.406,-5.9,-3.7,1.9,0.9636243386243387,0,1
867,2010,Andre Miller,PG,33.0,POR,82.0,2500.0,18.1,0.53,0.088,0.432,4.0,9.2,30.3,2.0,0.3,13.8,23.8,4.6,2.4,7.0,0.134,1.9,-0.3,0.2,0.469,0.821,3.5,1.6,7.0,57.40740740740742,0,1
868,2010,Zydrunas Ilgauskas,C,34.0,CLE,64.0,1339.0,11.9,0.491,0.053,0.231,10.7,19.6,5.6,0.5,2.9,11.6,19.0,0.5,2.0,2.5,0.088,-3.3,0.2,0.478,0.441,0.743,6.8,-9.5,2.9,57.40740740740742,0,1
870,2010,Anthony Parker,SG,34.0,CLE,81.0,2289.0,9.9,0.576,0.549,0.2,1.6,10.0,9.9,1.4,0.6,12.1,12.0,2.3,2.6,4.9,0.103,0.2,0.6,0.414,0.458,0.789,6.8,-9.5,1.5,0.8273420479302834,0,1
872,2010,Corey Maggette,PF,30.0,GSW,70.0,2081.0,20.3,0.615,0.056,0.622,4.9,15.2,13.2,1.2,0.1,13.0,26.7,5.6,0.7,6.3,0.144,1.6,-2.6,0.26,0.531,0.835,-3.3,-2.3,3.4,-2166.199813258637,1,1
873,2010,Brad Miller,C,33.0,CHI,82.0,1950.0,12.9,0.53,0.227,0.379,4.8,17.8,12.2,1.2,1.1,13.6,18.1,1.5,2.5,4.0,0.098,-1.3,0.5,0.28,0.474,0.827,-1.6,7.8,3.0,-1176.470588235294,1,1
874,2010,John Salmons,SG,30.0,CHI,51.0,1695.0,12.7,0.53,0.35,0.268,1.2,10.1,11.6,2.0,1.0,10.3,18.1,1.2,2.0,3.2,0.092,-0.2,0.4,0.38,0.441,0.789,-1.6,7.8,4.3,1617.6470588235286,0,1
881,2010,Earl Watson,PG,30.0,IND,79.0,2322.0,10.9,0.517,0.351,0.323,2.5,8.8,25.6,2.2,0.5,22.6,14.7,0.3,2.3,2.6,0.055,-1.6,0.2,0.288,0.5,0.71,-3.0,-0.9,1.0,-7479.289940828403,1,0
883,2011,Ray Allen,SG,35.0,BOS,80.0,2890.0,16.4,0.615,0.387,0.224,2.3,9.0,12.7,1.4,0.4,9.8,19.8,5.8,4.2,10.0,0.166,3.2,0.4,0.444,0.52,0.881,5.7,2.6,4.7,-6441.538461538462,1,1
884,2011,Kevin Garnett,PF,34.0,BOS,71.0,2220.0,20.6,0.575,0.006,0.264,4.9,28.7,13.5,2.3,2.0,11.1,22.3,3.4,5.6,9.0,0.194,0.0,4.1,0.2,0.53,0.862,5.7,2.6,6.9,8.000000000000002,0,1
885,2011,Paul Pierce,SF,33.0,BOS,80.0,2774.0,19.7,0.62,0.291,0.44,1.6,16.6,16.1,1.5,1.4,12.3,24.0,6.5,5.1,11.6,0.201,3.1,1.6,0.374,0.547,0.86,5.7,2.6,7.0,-2732.9916123019566,1,1
886,2011,Matt Barnes,SF,30.0,LAL,53.0,1020.0,14.6,0.569,0.384,0.276,8.4,16.7,10.5,2.0,1.6,15.6,16.6,1.4,1.6,3.0,0.142,0.6,1.2,0.318,0.564,0.779,6.3,1.3,4.3,1348.1481481481483,0,1
887,2011,Steve Blake,PG,30.0,LAL,79.0,1581.0,7.5,0.5,0.631,0.098,1.4,9.5,15.0,1.3,0.1,18.6,11.3,0.3,1.5,1.8,0.055,-1.9,-0.4,0.378,0.327,0.867,6.3,1.3,1.0,-94814.81481481483,1,0
888,2011,Kobe Bryant,SG,32.0,LAL,82.0,2779.0,23.9,0.548,0.217,0.356,3.5,13.3,26.7,1.9,0.3,11.4,35.1,6.8,3.5,10.3,0.178,4.7,-0.9,0.323,0.487,0.828,6.3,1.3,6.2,-84919.0938511327,1,1
889,2011,Derek Fisher,PG,36.0,LAL,82.0,2297.0,8.9,0.486,0.301,0.195,0.7,6.6,14.0,2.3,0.3,10.9,12.8,1.2,2.5,3.7,0.078,-1.6,0.3,0.396,0.386,0.806,6.3,1.3,1.1,2.5337711069418387,0,1
890,2011,Pau Gasol,C,30.0,LAL,82.0,3037.0,23.3,0.589,0.003,0.384,10.3,20.5,15.1,0.8,3.3,9.8,21.8,10.0,4.7,14.7,0.232,3.0,2.2,0.333,0.53,0.823,6.3,1.3,8.3,4.089557926829269,0,1
891,2011,Lamar Odom,PF,31.0,LAL,82.0,2639.0,19.4,0.589,0.199,0.275,7.8,22.2,15.5,0.9,1.8,12.2,19.7,6.1,4.0,10.1,0.184,2.3,1.4,0.382,0.566,0.675,6.3,1.3,0.3,1.8349925335988055,0,1
892,2011,Metta World,SF,31.0,LAL,82.0,2410.0,11.2,0.485,0.354,0.207,4.9,7.6,10.7,2.7,1.1,11.1,15.3,1.2,3.2,4.4,0.088,-0.3,1.4,0.356,0.419,0.676,6.3,1.3,2.6,4.042735042735043,0,0
893,2011,Shane Battier,SF,32.0,HOU,59.0,1818.0,12.9,0.577,0.551,0.186,3.6,13.9,12.1,1.5,2.7,12.5,12.3,2.3,1.7,4.0,0.105,1.0,1.9,0.391,0.536,0.645,2.3,0.2,3.3,9.450549450549449,0,1
895,2011,Luis Scola,PF,30.0,HOU,74.0,2412.0,18.4,0.538,0.003,0.257,6.9,21.6,13.7,1.0,1.3,10.5,25.7,3.3,2.2,5.5,0.11,-0.2,-0.1,0.0,0.505,0.738,2.3,0.2,3.4,4.331501831501831,0,1
897,2011,Earl Watson,PG,31.0,UTA,80.0,1567.0,10.2,0.5,0.349,0.267,4.0,10.1,25.7,2.1,0.9,25.3,13.4,0.2,0.8,1.0,0.03,-1.7,-0.9,0.336,0.45,0.671,-1.8,0.5,0.4,2.7564102564102564,0,0
901,2011,Al Harrington,PF,30.0,DEN,73.0,1665.0,12.3,0.527,0.486,0.173,5.4,17.2,9.6,1.2,0.5,12.7,22.3,0.6,1.5,2.1,0.06,0.2,-1.2,0.357,0.473,0.735,4.9,3.2,3.2,6616.541353383459,0,0
905,2011,Matt Bonner,PF,30.0,SAS,66.0,1432.0,13.5,0.617,0.62,0.116,5.0,14.2,6.2,0.9,1.0,6.5,13.4,3.0,1.4,4.4,0.147,2.1,-0.1,0.457,0.475,0.744,6.1,7.7,4.0,40.99999999999996,0,0
906,2011,Tim Duncan,C,34.0,SAS,76.0,2156.0,21.9,0.537,0.005,0.307,9.3,26.8,15.7,1.2,4.8,11.4,22.9,3.7,4.0,7.7,0.171,-0.1,3.9,0.0,0.502,0.716,6.1,7.7,5.9,-1708.2917082917081,1,1
908,2011,Richard Jefferson,SF,30.0,SAS,81.0,2459.0,12.4,0.612,0.478,0.304,2.6,11.8,6.5,0.8,1.0,11.3,15.4,3.7,2.1,5.9,0.115,1.1,0.0,0.44,0.504,0.759,6.1,7.7,2.4,-4335.071707953065,1,1
910,2011,Elton Brand,PF,31.0,PHI,81.0,2809.0,18.5,0.553,0.001,0.278,9.7,18.0,7.1,1.7,2.9,8.4,19.7,5.1,4.4,9.4,0.161,0.5,1.9,0.0,0.512,0.78,1.5,4.6,6.1,-2565.4664484451723,1,1
912,2011,Andre Miller,PG,34.0,POR,81.0,2650.0,17.8,0.529,0.044,0.346,4.3,9.9,35.7,2.3,0.4,16.8,20.6,4.6,2.4,7.0,0.127,1.3,-0.2,0.108,0.476,0.853,1.6,-0.9,2.9,1.4363143631436317,0,1
917,2011,John Salmons,SG,31.0,MIL,73.0,2554.0,12.8,0.51,0.244,0.267,1.2,11.2,17.5,1.5,0.9,12.0,20.9,0.9,3.4,4.3,0.081,-0.8,0.7,0.379,0.427,0.813,-0.8,0.4,0.4,-11162.79069767442,1,1
918,2011,Mike Dunleavy,SG,30.0,IND,61.0,1683.0,14.6,0.593,0.488,0.24,1.9,16.2,10.1,1.2,1.3,10.7,16.9,2.6,1.9,4.5,0.129,1.1,0.2,0.402,0.519,0.8,-0.9,3.3,4.4,-273.50427350427253,1,1
921,2011,Tayshaun Prince,SF,30.0,DET,78.0,2562.0,15.1,0.511,0.098,0.168,3.6,12.6,14.4,0.6,1.3,7.1,21.0,2.9,0.4,3.3,0.062,0.0,-1.7,0.347,0.486,0.702,-3.7,-5.0,2.1,6.55769230769231,0,0
924,2011,Jason Kidd,PG,37.0,DAL,80.0,2653.0,14.4,0.5,0.656,0.129,1.6,13.4,35.4,2.7,0.8,22.1,14.3,2.5,3.9,6.4,0.116,1.0,2.1,0.34,0.4,0.87,4.4,1.1,3.0,-4408.244680851065,1,1
925,2011,Shawn Marion,SF,32.0,DAL,80.0,2253.0,17.0,0.551,0.04,0.197,9.1,19.2,8.3,1.6,1.7,12.5,21.5,2.3,3.4,5.6,0.12,-0.7,1.8,0.152,0.536,0.768,4.4,1.1,3.7,4.386780905752755,0,1
926,2011,Dirk Nowitzki,PF,32.0,DAL,73.0,2504.0,23.4,0.612,0.142,0.376,2.4,20.8,14.2,0.8,1.4,9.1,28.2,7.8,3.3,11.1,0.213,3.2,0.6,0.393,0.538,0.892,4.4,1.1,7.6,4.720265780730897,0,1
927,2011,Jason Terry,SG,33.0,DAL,82.0,2564.0,15.9,0.545,0.322,0.196,1.1,5.7,22.2,1.9,0.4,12.4,24.7,2.8,2.5,5.3,0.1,1.5,-0.9,0.362,0.493,0.85,4.4,1.1,3.8,5.2589147286821705,0,1
936,2011,Jason Richardson,SG,30.0,ORL,55.0,1919.0,13.2,0.543,0.496,0.13,2.1,11.0,9.7,1.8,0.4,8.4,18.6,2.1,2.9,5.0,0.125,1.4,1.1,0.384,0.482,0.701,5.6,0.6,2.8,0.8819538670284939,0,1
937,2011,Hedo Turkoglu,SF,31.0,ORL,56.0,1910.0,13.6,0.55,0.403,0.227,1.6,13.8,24.0,1.5,0.8,14.8,16.6,2.7,3.0,5.6,0.142,1.1,1.9,0.404,0.478,0.667,5.6,0.6,2.1,0.6208955223880598,0,1
939,2012,Ray Allen,SG,36.0,BOS,46.0,1565.0,14.8,0.607,0.475,0.215,1.1,9.2,11.8,1.7,0.4,11.2,18.6,2.5,2.2,4.7,0.145,2.4,0.3,0.453,0.463,0.915,2.6,-0.5,5.4,9.638554216867478,0,1
940,2012,Kevin Garnett,C,35.0,BOS,60.0,1864.0,20.4,0.55,0.012,0.243,4.4,25.8,17.9,1.6,2.5,11.1,24.9,2.6,4.3,6.9,0.178,0.2,3.3,0.333,0.505,0.857,2.6,-0.5,5.6,0.5115848007414274,0,1
941,2012,Paul Pierce,SF,34.0,BOS,61.0,2075.0,19.6,0.567,0.307,0.387,2.2,15.2,24.3,1.8,1.0,14.2,28.1,3.3,3.7,7.0,0.161,3.3,1.1,0.366,0.476,0.852,2.6,-0.5,7.2,9.638554216867478,0,1
942,2012,Tony Allen,SG,30.0,MEM,58.0,1525.0,15.7,0.541,0.058,0.391,7.4,10.6,8.3,3.6,1.8,15.2,18.4,1.7,2.5,4.2,0.131,0.0,2.5,0.308,0.479,0.8,2.2,4.5,5.1,139.53488372093022,0,1
943,2012,Matt Barnes,SF,31.0,LAL,63.0,1440.0,15.5,0.554,0.357,0.331,7.9,18.3,13.8,1.3,2.4,14.1,16.4,2.4,1.8,4.3,0.142,1.1,1.5,0.333,0.518,0.742,1.3,1.1,6.3,139.53488372093022,0,1
944,2012,Steve Blake,PG,31.0,LAL,53.0,1237.0,8.5,0.493,0.59,0.101,0.9,6.6,21.0,1.7,0.1,20.5,13.0,0.2,0.8,1.0,0.04,-1.4,-1.4,0.335,0.436,0.778,1.3,1.1,2.4,139.53488372093022,0,0
945,2012,Kobe Bryant,SG,33.0,LAL,58.0,2232.0,21.9,0.527,0.215,0.338,3.5,11.8,23.7,1.6,0.6,11.7,35.7,4.2,2.0,6.2,0.132,3.6,-1.4,0.303,0.464,0.845,1.3,1.1,10.9,139.53488372093022,0,1
